Outlet_ID,Trade_Spend_Allocation_LKR
OUT_03556,2550.0
OUT_02351,2550.0
OUT_00039,2550.0
OUT_01997,2550.0
OUT_03577,2550.0
OUT_05198,2550.0
OUT_01878,2550.0
OUT_00010,2550.0
OUT_02288,2550.0
OUT_00026,2550.0
OUT_08305,2550.0
OUT_00399,2550.0
OUT_00389,2550.0
OUT_00877,2550.0
OUT_00271,2550.0
OUT_04399,2550.0
OUT_04061,2550.0
OUT_05658,2550.0
OUT_03370,2550.0
OUT_08992,2550.0
OUT_08583,2550.0
OUT_06490,2550.0
OUT_06340,2550.0
OUT_01877,2550.0
OUT_00246,2550.0
OUT_04606,2550.0
OUT_04062,2550.0
OUT_00579,2550.0
OUT_07600,2550.0
OUT_08355,2550.0
OUT_03451,2550.0
OUT_06433,2550.0
OUT_08280,2550.0
OUT_08275,2550.0
OUT_05540,2550.0
OUT_02883,2550.0
OUT_03669,2550.0
OUT_04131,2550.0
OUT_02800,2550.0
OUT_03932,2550.0
OUT_06884,2550.0
OUT_00044,2550.0
OUT_02034,2550.0
OUT_06718,2550.0
OUT_08526,2550.0
OUT_00040,2550.0
OUT_04471,2550.0
OUT_07505,2550.0
OUT_00303,2550.0
OUT_02083,2550.0
OUT_00398,2550.0
OUT_05984,2550.0
OUT_00684,2550.0
OUT_03165,2550.0
OUT_06784,2550.0
OUT_06097,2550.0
OUT_03312,2550.0
OUT_07817,2550.0
OUT_08218,2550.0
OUT_02765,2550.0
OUT_00100,2550.0
OUT_01440,2550.0
OUT_06922,2550.0
OUT_01203,2550.0
OUT_00076,2550.0
OUT_02758,2550.0
OUT_02523,2550.0
OUT_07451,2550.0
OUT_08761,2550.0
OUT_00262,2550.0
OUT_04249,2550.0
OUT_02684,2550.0
OUT_05071,2550.0
OUT_06860,2550.0
OUT_02236,2550.0
OUT_04640,2550.0
OUT_02243,2550.0
OUT_03129,2550.0
OUT_04033,2550.0
OUT_03288,2550.0
OUT_07156,2550.0
OUT_06568,2550.0
OUT_05166,2550.0
OUT_00834,2550.0
OUT_08271,2550.0
OUT_05804,2550.0
OUT_01499,2550.0
OUT_07440,2550.0
OUT_08541,2550.0
OUT_05430,2550.0
OUT_04992,2550.0
OUT_04414,2550.0
OUT_00388,2550.0
OUT_07617,2550.0
OUT_02135,2550.0
OUT_05170,2550.0
OUT_07967,2550.0
OUT_00643,2550.0
OUT_02028,2550.0
OUT_00078,2550.0
OUT_07504,2550.0
OUT_05523,2550.0
OUT_04449,2550.0
OUT_01932,2550.0
OUT_03911,2550.0
OUT_03891,2550.0
OUT_04702,2550.0
OUT_03723,2550.0
OUT_01073,2550.0
OUT_08186,2550.0
OUT_03910,2550.0
OUT_05522,2550.0
OUT_02427,2550.0
OUT_02018,2550.0
OUT_05233,2550.0
OUT_06439,2550.0
OUT_07302,2550.0
OUT_07362,2550.0
OUT_02890,2550.0
OUT_01391,2550.0
OUT_05716,2550.0
OUT_04928,2550.0
OUT_04108,2550.0
OUT_06153,2550.0
OUT_06650,2550.0
OUT_05406,2550.0
OUT_05384,2550.0
OUT_06243,2550.0
OUT_02740,2550.0
OUT_08884,2550.0
OUT_00337,2550.0
OUT_05606,2550.0
OUT_04737,2550.0
OUT_02133,2550.0
OUT_01197,2550.0
OUT_00094,2550.0
OUT_07390,2550.0
OUT_02181,2550.0
OUT_03809,2550.0
OUT_03281,2550.0
OUT_05623,2550.0
OUT_01195,2550.0
OUT_00694,2550.0
OUT_03148,2550.0
OUT_08831,2550.0
OUT_00168,2550.0
OUT_04807,2550.0
OUT_06866,2550.0
OUT_03643,2550.0
OUT_01218,2550.0
OUT_04568,2550.0
OUT_07639,2550.0
OUT_07044,2550.0
OUT_07901,2550.0
OUT_03484,2550.0
OUT_00551,2550.0
OUT_06373,2550.0
OUT_08739,2550.0
OUT_00310,2550.0
OUT_00336,2550.0
OUT_02647,2550.0
OUT_00374,2550.0
OUT_08506,2550.0
OUT_02276,2550.0
OUT_08858,2550.0
OUT_08636,2550.0
OUT_08182,2550.0
OUT_08100,2550.0
OUT_02667,2550.0
OUT_07235,2550.0
OUT_06151,2550.0
OUT_03097,2550.0
OUT_00140,2550.0
OUT_03705,2550.0
OUT_00396,2550.0
OUT_04239,2550.0
OUT_05168,2550.0
